receiver: (g=0): rw=read, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
sender: (g=0): rw=write, bs=4K-4K/4K-4K/4K-4K, ioengine=net, iodepth=8
fio-2.6-20-g2caf
Starting 2 processes
fio: waiting for connection
tid=5200 SEND 109268 : poll=0
tid=5200 SEND 108788 : poll=0
tid=5200 SEND 108928 : poll=0
tid=5200 SEND 109688 : poll=0
tid=5200 SEND 109052 : poll=0
tid=5200 SEND 109080 : poll=0
tid=5200 SEND 113036 : poll=0
tid=5200 SEND 109668 : poll=0
tid=5200 SEND 109928 : poll=0
tid=5200 SEND 109560 : poll=0
tid=5200 SEND 109664 : poll=0
tid=5200 SEND 109480 : poll=0
tid=5200 SEND 109236 : poll=0
tid=5200 SEND 109276 : poll=0
tid=5200 SEND 109472 : poll=0
tid=5200 SEND 115716 : poll=0
tid=5200 SEND 110256 : poll=0
tid=5200 SEND 109812 : poll=0
tid=5200 SEND 109244 : poll=0
tid=5200 SEND 109644 : poll=0
tid=5200 SEND 109976 : poll=0
tid=5200 SEND 108888 : poll=0
tid=5200 SEND 109712 : poll=0
tid=5200 SEND 109988 : poll=0
tid=5200 SEND 140660 : poll=0
tid=5200 SEND 114076 : poll=0
tid=5200 SEND 109548 : poll=0
tid=5200 SEND 109640 : poll=0
tid=5200 SEND 109260 : poll=0
tid=5200 SEND 109948 : poll=0
tid=5200 SEND 109256 : poll=0
tid=5200 SEND 109500 : poll=0
tid=5200 SEND 109264 : poll=0
tid=5200 SEND 109560 : poll=0
tid=5200 SEND 113192 : poll=0
tid=5200 SEND 110064 : poll=0
tid=5200 SEND 109508 : poll=0
tid=5200 SEND 109552 : poll=0
tid=5200 SEND 109076 : poll=0
tid=5200 SEND 109548 : poll=0
tid=5200 SEND 109780 : poll=0
tid=5200 SEND 110132 : poll=0
tid=5200 SEND 109272 : poll=0
tid=5200 SEND 113960 : poll=0
tid=5200 SEND 110028 : poll=0
tid=5200 SEND 111016 : poll=0
tid=5200 SEND 109676 : poll=0
tid=5200 SEND 109604 : poll=0
tid=5200 SEND 109164 : poll=0
tid=5200 SEND 109412 : poll=0
tid=5200 SEND 109364 : poll=0
tid=5200 SEND 109364 : poll=0
tid=5200 SEND 152916 : poll=0
tid=5200 SEND 109924 : poll=0
tid=5200 SEND 109688 : poll=0
tid=5200 SEND 109652 : poll=0
tid=5200 SEND 109340 : poll=0
tid=5200 SEND 109384 : poll=0
tid=5200 SEND 109668 : poll=0
tid=5200 SEND 109168 : poll=0
tid=5200 SEND 109308 : poll=0
tid=5200 SEND 109076 : poll=0
tid=5200 SEND 114172 : poll=0
tid=5200 SEND 109660 : poll=0
tid=5200 SEND 109440 : poll=0
tid=5200 SEND 109504 : poll=0
tid=5200 SEND 109472 : poll=0
tid=5200 SEND 109324 : poll=0
tid=5200 SEND 109216 : poll=0
tid=5200 SEND 109268 : poll=0
tid=5200 SEND 109252 : poll=0
tid=5200 SEND 112308 : poll=0
tid=5200 SEND 109396 : poll=0
tid=5200 SEND 108904 : poll=0
tid=5200 SEND 109720 : poll=0
tid=5200 SEND 109048 : poll=0
tid=5200 SEND 109144 : poll=0
tid=5200 SEND 108836 : poll=0
tid=5200 SEND 109544 : poll=0
tid=5200 SEND 109504 : poll=0
tid=5200 SEND 114668 : poll=0
tid=5200 SEND 110044 : poll=0
tid=5200 SEND 109400 : poll=0
tid=5200 SEND 109640 : poll=0
tid=5200 SEND 109196 : poll=0
tid=5200 SEND 109144 : poll=0
tid=5200 SEND 109512 : poll=0
tid=5200 SEND 109852 : poll=0
tid=5200 SEND 109692 : poll=0
tid=5200 SEND 134004 : poll=0
tid=5200 SEND 114044 : poll=0
tid=5200 SEND 109548 : poll=0
tid=5200 SEND 109368 : poll=0
tid=5200 SEND 109324 : poll=0
tid=5200 SEND 109552 : poll=0
tid=5200 SEND 108968 : poll=0
tid=5200 SEND 109176 : poll=0
tid=5200 SEND 109596 : poll=0
tid=5200 SEND 109040 : poll=0
tid=5200 SEND 113568 : poll=0
tid=5200 SEND 109288 : poll=0
tid=5200 SEND 109372 : poll=0
tid=5200 SEND 109532 : poll=0
tid=5200 SEND 109328 : poll=0
tid=5200 SEND 109536 : poll=0
tid=5200 SEND 109292 : poll=0
tid=5200 SEND 108912 : poll=0
tid=5200 SEND 109288 : poll=0
tid=5200 SEND 113320 : poll=0
tid=5200 SEND 109784 : poll=0
tid=5200 SEND 109108 : poll=0
tid=5200 SEND 109380 : poll=0
tid=5200 SEND 109288 : poll=0
tid=5200 SEND 109268 : poll=0
tid=5200 SEND 109160 : poll=0
tid=5200 SEND 109288 : poll=0
tid=5200 SEND 109112 : poll=0
tid=5200 SEND 147648 : poll=0
tid=5200 SEND 109964 : poll=0
tid=5200 SEND 109848 : poll=0
tid=5200 SEND 108684 : poll=0
tid=5200 SEND 108720 : poll=0
tid=5200 SEND 109372 : poll=0
tid=5200 SEND 108960 : poll=0
tid=5200 SEND 109180 : poll=0
tid=5200 SEND 109224 : poll=0
tid=5200 SEND 108596 : poll=0
tid=5200 SEND 113456 : poll=0
tid=5200 SEND 109624 : poll=0
tid=5200 SEND 109256 : poll=0
tid=5200 SEND 109096 : poll=0
tid=5200 SEND 109352 : poll=0
tid=5200 SEND 109120 : poll=0
tid=5200 SEND 109240 : poll=0
tid=5200 SEND 109008 : poll=0
tid=5200 SEND 109212 : poll=0
tid=5200 SEND 112876 : poll=0
tid=5200 SEND 108768 : poll=0
tid=5200 SEND 109200 : poll=0
tid=5200 SEND 108676 : poll=0
tid=5200 SEND 108664 : poll=0
tid=5200 SEND 109200 : poll=0
tid=5200 SEND 108548 : poll=0
tid=5200 SEND 109244 : poll=0
tid=5200 SEND 108892 : poll=0
tid=5200 SEND 116204 : poll=0
tid=5200 SEND 109800 : poll=0
tid=5200 SEND 109668 : poll=0
tid=5200 SEND 108748 : poll=0
tid=5200 SEND 109048 : poll=0
tid=5200 SEND 108808 : poll=0
tid=5200 SEND 109120 : poll=0
tid=5200 SEND 108696 : poll=0
tid=5200 SEND 108784 : poll=0
tid=5200 SEND 141996 : poll=0
tid=5200 SEND 114212 : poll=0
tid=5200 SEND 109328 : poll=0
tid=5200 SEND 109048 : poll=0
tid=5200 SEND 109448 : poll=0
tid=5200 SEND 108872 : poll=0
tid=5200 SEND 108944 : poll=0
tid=5200 SEND 109020 : poll=0
tid=5200 SEND 108848 : poll=0
tid=5200 SEND 109156 : poll=0
tid=5200 SEND 112712 : poll=0
tid=5200 SEND 109064 : poll=0
tid=5200 SEND 108936 : poll=0
tid=5200 SEND 109004 : poll=0
tid=5200 SEND 109164 : poll=0
tid=5200 SEND 109248 : poll=0
tid=5200 SEND 108856 : poll=0
tid=5200 SEND 108968 : poll=0
tid=5200 SEND 109164 : poll=0
tid=5200 SEND 114152 : poll=0
tid=5200 SEND 109956 : poll=0
tid=5200 SEND 108860 : poll=0
tid=5200 SEND 109052 : poll=0
tid=5200 SEND 109276 : poll=0
tid=5200 SEND 109124 : poll=0
tid=5200 SEND 109364 : poll=0
tid=5200 SEND 109256 : poll=0
tid=5200 SEND 109616 : poll=0
tid=5200 SEND 142416 : poll=0
tid=5200 SEND 114248 : poll=0
tid=5200 SEND 109732 : poll=0
tid=5200 SEND 109476 : poll=0
tid=5200 SEND 109200 : poll=0
tid=5200 SEND 109088 : poll=0
tid=5200 SEND 109240 : poll=0
tid=5200 SEND 110112 : poll=0
tid=5200 SEND 109304 : poll=0
tid=5200 SEND 109352 : poll=0
tid=5200 SEND 113248 : poll=0
tid=5200 SEND 109124 : poll=0
tid=5200 SEND 109220 : poll=0
tid=5200 SEND 108920 : poll=0
tid=5200 SEND 109180 : poll=0
tid=5200 SEND 109344 : poll=0
tid=5200 SEND 109596 : poll=0
tid=5200 SEND 109804 : poll=0
tid=5200 SEND 109304 : poll=0
tid=5200 SEND 113340 : poll=0
tid=5200 SEND 109516 : poll=0
tid=5200 SEND 109704 : poll=0
tid=5200 SEND 108964 : poll=0
tid=5200 SEND 108688 : poll=0
tid=5200 SEND 108988 : poll=0
tid=5200 SEND 108804 : poll=0
tid=5200 SEND 109372 : poll=0
tid=5200 SEND 109384 : poll=0
tid=5200 SEND 144832 : poll=0
tid=5200 SEND 109844 : poll=0
tid=5200 SEND 109240 : poll=0
tid=5200 SEND 109016 : poll=0
tid=5200 SEND 109132 : poll=0
tid=5200 SEND 109392 : poll=0
tid=5200 SEND 109000 : poll=0
tid=5200 SEND 108836 : poll=0
tid=5200 SEND 108660 : poll=0
tid=5200 SEND 108736 : poll=0
tid=5200 SEND 114408 : poll=0
tid=5200 SEND 109340 : poll=0
tid=5200 SEND 109128 : poll=0
tid=5200 SEND 108948 : poll=0
tid=5200 SEND 109268 : poll=0
tid=5200 SEND 109404 : poll=0
tid=5200 SEND 109240 : poll=0
tid=5200 SEND 108792 : poll=0
tid=5200 SEND 109496 : poll=0
tid=5200 SEND 112848 : poll=0
tid=5200 SEND 109276 : poll=0
tid=5200 SEND 109832 : poll=0
tid=5200 SEND 109076 : poll=0
tid=5200 SEND 109036 : poll=0
tid=5200 SEND 109048 : poll=0
tid=5200 SEND 109436 : poll=0
tid=5200 SEND 109260 : poll=0
tid=5200 SEND 109960 : poll=0
tid=5200 SEND 117968 : poll=0
tid=5200 SEND 110136 : poll=0
tid=5200 SEND 109248 : poll=0
tid=5200 SEND 108788 : poll=0
tid=5200 SEND 109464 : poll=0
tid=5200 SEND 109312 : poll=0
tid=5200 SEND 109348 : poll=0
tid=5200 SEND 108864 : poll=0
tid=5200 SEND 109360 : poll=0
tid=5200 SEND 139724 : poll=0
tid=5200 SEND 114116 : poll=0
tid=5200 SEND 109452 : poll=0
tid=5200 SEND 108904 : poll=0
tid=5200 SEND 108560 : poll=0
tid=5200 SEND 108816 : poll=0
tid=5200 SEND 109044 : poll=0
tid=5200 SEND 108792 : poll=0
tid=5200 SEND 108652 : poll=0
tid=5200 SEND 109220 : poll=0
tid=5200 SEND 112276 : poll=0
tid=5200 SEND 109148 : poll=0
tid=5200 SEND 108828 : poll=0
tid=5200 SEND 109136 : poll=0
tid=5200 SEND 109096 : poll=0
tid=5200 SEND 108560 : poll=0
tid=5200 SEND 108776 : poll=0
tid=5200 SEND 108924 : poll=0
tid=5200 SEND 108992 : poll=0
tid=5200 SEND 113960 : poll=0
tid=5200 SEND 109540 : poll=0
tid=5200 SEND 109156 : poll=0
tid=5200 SEND 108924 : poll=0
